market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN101745-45,no,buy_fill,36,0.1,,-3.66,1514.6400000000074,1768084380.0,
KXBTC15M-26JAN101745-45,no,buy_fill,75,0.1,,-7.62,1507.0200000000075,1768084440.0,
KXBTC15M-26JAN101745-45,no,settlement,111,0.09999999999999999,0.0,-11.1,1507.0200000000075,,False
KXBTC15M-26JAN101800-00,no,buy_fill,128,0.1,,-13.010000000000002,1494.0100000000075,1768085160.0,
KXBTC15M-26JAN101800-00,no,sell_fill,87,0.1,0.4,25.730000000000004,1528.4400000000076,1768085220.0,
KXBTC15M-26JAN101800-00,no,sell_fill,41,0.1,0.4,12.120000000000003,1544.6600000000076,1768085280.0,
KXBTC15M-26JAN101815-15,yes,buy_fill,39,0.1,,-3.97,1540.6900000000076,1768086060.0,
KXBTC15M-26JAN101815-15,yes,sell_fill,17,0.1,0.4,5.0200000000000005,1547.4100000000076,1768086120.0,
KXBTC15M-26JAN101815-15,yes,sell_fill,22,0.1,0.4,6.500000000000002,1556.1100000000076,1768086180.0,
KXBTC15M-26JAN101930-30,no,buy_fill,155,0.1,,-15.75,1540.3600000000076,1768090680.0,
KXBTC15M-26JAN101930-30,no,settlement,155,0.1,0.0,-15.5,1540.3600000000076,,False
KXBTC15M-26JAN102000-00,yes,buy_fill,30,0.1,,-3.05,1537.3100000000077,1768092360.0,
KXBTC15M-26JAN102000-00,yes,sell_fill,30,0.1,0.4,8.870000000000001,1549.1800000000076,1768092420.0,
KXBTC15M-26JAN102030-30,no,buy_fill,18,0.1,,-1.83,1547.3500000000076,1768094160.0,
KXBTC15M-26JAN102030-30,no,sell_fill,18,0.1,0.4,5.32,1554.4700000000075,1768094280.0,
KXBTC15M-26JAN102130-30,yes,buy_fill,27,0.1,,-2.75,1551.7200000000075,1768097760.0,
KXBTC15M-26JAN102130-30,yes,sell_fill,27,0.1,0.4,7.980000000000001,1562.4000000000076,1768097820.0,
KXBTC15M-26JAN102300-00,yes,buy_fill,9,0.1,,-0.92,1561.4800000000075,1768103160.0,
KXBTC15M-26JAN102300-00,yes,sell_fill,9,0.1,0.4,2.66,1565.0400000000075,1768103220.0,
KXBTC15M-26JAN102315-15,yes,buy_fill,18,0.1,,-1.83,1563.2100000000075,1768104060.0,
